0 of 10008 tasks cached; running 10008 on 12 workers
  331/10008 tasks, 247.9 min elapsed
  333/10008 tasks, 250.9 min elapsed
  343/10008 tasks, 251.7 min elapsed
  345/10008 tasks, 254.7 min elapsed
  351/10008 tasks, 255.2 min elapsed
  355/10008 tasks, 255.8 min elapsed
  357/10008 tasks, 258.8 min elapsed
  365/10008 tasks, 259.4 min elapsed
  368/10008 tasks, 259.9 min elapsed
  369/10008 tasks, 262.7 min elapsed
  375/10008 tasks, 263.4 min elapsed
  379/10008 tasks, 264.0 min elapsed
  381/10008 tasks, 267.3 min elapsed
  387/10008 tasks, 268.0 min elapsed
  391/10008 tasks, 269.1 min elapsed
  393/10008 tasks, 272.4 min elapsed
  401/10008 tasks, 273.1 min elapsed
  404/10008 tasks, 273.6 min elapsed
  405/10008 tasks, 276.8 min elapsed
  411/10008 tasks, 277.8 min elapsed
  415/10008 tasks, 278.5 min elapsed
  417/10008 tasks, 281.6 min elapsed
  423/10008 tasks, 282.3 min elapsed
  427/10008 tasks, 283.0 min elapsed
  429/10008 tasks, 286.1 min elapsed
  431/10008 tasks, 287.2 min elapsed
  436/10008 tasks, 287.7 min elapsed
  441/10008 tasks, 288.5 min elapsed
  443/10008 tasks, 290.2 min elapsed
  445/10008 tasks, 291.9 min elapsed
  447/10008 tasks, 292.6 min elapsed
  448/10008 tasks, 293.9 min elapsed
  450/10008 tasks, 294.9 min elapsed
  453/10008 tasks, 296.0 min elapsed
  456/10008 tasks, 297.6 min elapsed
  458/10008 tasks, 299.2 min elapsed
  459/10008 tasks, 300.8 min elapsed
  462/10008 tasks, 301.6 min elapsed
  463/10008 tasks, 302.1 min elapsed
  464/10008 tasks, 303.5 min elapsed
  465/10008 tasks, 304.8 min elapsed
  466/10008 tasks, 305.3 min elapsed
  467/10008 tasks, 306.4 min elapsed
  471/10008 tasks, 307.1 min elapsed
  472/10008 tasks, 308.7 min elapsed
  473/10008 tasks, 309.6 min elapsed
  474/10008 tasks, 311.0 min elapsed
  476/10008 tasks, 311.9 min elapsed
  479/10008 tasks, 312.5 min elapsed
  482/10008 tasks, 313.3 min elapsed
  486/10008 tasks, 314.4 min elapsed
  489/10008 tasks, 314.9 min elapsed
  492/10008 tasks, 315.5 min elapsed
  494/10008 tasks, 316.3 min elapsed
  498/10008 tasks, 316.8 min elapsed
  501/10008 tasks, 317.7 min elapsed
  505/10008 tasks, 318.2 min elapsed
  508/10008 tasks, 319.0 min elapsed
  513/10008 tasks, 319.5 min elapsed
  516/10008 tasks, 320.1 min elapsed
  523/10008 tasks, 320.7 min elapsed
  531/10008 tasks, 321.3 min elapsed
  535/10008 tasks, 326.7 min elapsed
  537/10008 tasks, 327.7 min elapsed
  542/10008 tasks, 329.8 min elapsed
  547/10008 tasks, 332.0 min elapsed
  549/10008 tasks, 333.0 min elapsed
  550/10008 tasks, 334.2 min elapsed
  554/10008 tasks, 335.4 min elapsed
  558/10008 tasks, 336.3 min elapsed
  559/10008 tasks, 337.1 min elapsed
  561/10008 tasks, 338.1 min elapsed
  562/10008 tasks, 339.2 min elapsed
  566/10008 tasks, 340.1 min elapsed
  570/10008 tasks, 342.8 min elapsed
  574/10008 tasks, 343.6 min elapsed
  578/10008 tasks, 344.5 min elapsed
  581/10008 tasks, 345.7 min elapsed
  582/10008 tasks, 346.6 min elapsed
  583/10008 tasks, 347.3 min elapsed
  603/10008 tasks, 347.8 min elapsed
  612/10008 tasks, 348.7 min elapsed
  618/10008 tasks, 349.3 min elapsed
  622/10008 tasks, 349.8 min elapsed
  628/10008 tasks, 350.4 min elapsed
  635/10008 tasks, 351.0 min elapsed
  641/10008 tasks, 351.6 min elapsed
  647/10008 tasks, 352.2 min elapsed
  653/10008 tasks, 352.7 min elapsed
  657/10008 tasks, 353.3 min elapsed
  661/10008 tasks, 353.8 min elapsed
  669/10008 tasks, 354.5 min elapsed
  677/10008 tasks, 356.6 min elapsed
  684/10008 tasks, 357.1 min elapsed
  689/10008 tasks, 358.4 min elapsed
  693/10008 tasks, 359.2 min elapsed
  702/10008 tasks, 359.7 min elapsed
  705/10008 tasks, 360.3 min elapsed
  714/10008 tasks, 360.8 min elapsed
  726/10008 tasks, 361.3 min elapsed
  737/10008 tasks, 362.6 min elapsed
  749/10008 tasks, 363.4 min elapsed
  761/10008 tasks, 363.9 min elapsed
  775/10008 tasks, 364.4 min elapsed
  777/10008 tasks, 365.5 min elapsed
  789/10008 tasks, 366.1 min elapsed
  795/10008 tasks, 366.6 min elapsed
  813/10008 tasks, 367.2 min elapsed
  817/10008 tasks, 368.3 min elapsed
  829/10008 tasks, 368.9 min elapsed
  836/10008 tasks, 369.4 min elapsed
  852/10008 tasks, 369.9 min elapsed
  857/10008 tasks, 371.0 min elapsed
  869/10008 tasks, 371.6 min elapsed
  879/10008 tasks, 372.2 min elapsed
  893/10008 tasks, 372.7 min elapsed
  897/10008 tasks, 373.7 min elapsed
  909/10008 tasks, 374.2 min elapsed
  917/10008 tasks, 374.8 min elapsed
  937/10008 tasks, 376.1 min elapsed
  949/10008 tasks, 376.8 min elapsed
  966/10008 tasks, 377.4 min elapsed
